City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
137,quesnel,52.9999,-122.5029,14.28000000000003,38,100,5.66,CA,1682211498
138,salalah,17.0151,54.0924,28.05000000000001,78,20,1.03,OM,1682211177
139,benghazi,32.1167,20.0667,19.30000000000001,66,0,4.89,LY,1682211397
140,limbang,4.75,115.0,29.060000000000002,77,12,0.98,MY,1682211308
141,torbay,47.6666,-52.7314,2.990000000000009,97,100,11.62,CA,1682211158
142,port moresby,-9.4431,147.1797,29.680000000000007,74,20,3.09,PG,1682211164
143,axim,4.8699,-2.2405,27.170000000000016,84,89,4.5,GH,1682211172
144,bluff,-46.6,168.3333,16.129999999999995,66,98,10.77,NZ,1682211123
145,bengkulu,-3.8004,102.2655,25.82000000000005,85,99,1.61,ID,1682210962
146,srednekolymsk,67.45,153.6833,-2.92999999999995,88,85,1.43,RU,1682211143
147,namibe,-15.1961,12.1522,24.850000000000023,75,42,2.98,AO,1682210996
148,sulangan,11.1373,123.7228,28.25,75,91,3.15,PH,1682211185
149,mahebourg,-20.4081,57.7,24.58000000000004,94,40,1.54,MU,1682211133
150,chuy,-33.6971,-53.4616,16.720000000000027,91,100,2.63,UY,1682211075
151,mogadishu,2.0371,45.3438,27.920000000000016,80,100,3.1,SO,1682211499
152,bad langensalza,51.1,10.65,15.120000000000005,79,100,3.37,DE,1682211499
153,simao,22.7886,100.9748,24.49000000000001,37,6,1.01,CN,1682211499
154,iskateley,67.6803,53.1512,-5.539999999999964,88,94,8.38,RU,1682211271
155,carnarvon,-24.8667,113.6333,24.689999999999998,44,84,2.41,AU,1682211138
156,fortuna,40.5982,-124.1573,17.74000000000001,76,21,0.89,US,1682210977
157,egvekinot,66.3167,-179.1667,-2.42999999999995,80,16,2.03,RU,1682211500
158,souillac,-20.5167,57.5167,24.210000000000036,94,40,1.54,MU,1682211115
159,luderitz,-26.6481,15.1594,14.990000000000009,54,100,3.32,NA,1682211137
160,zhigansk,66.7697,123.3711,-4.859999999999957,94,98,4.06,RU,1682211137
161,ilulissat,69.2167,-51.1,-0.9899999999999523,86,100,0.0,GL,1682210983
162,norman wells,65.282,-126.8329,-4.979999999999961,80,100,9.77,CA,1682211193
163,mbuji-mayi,-6.15,23.6,21.460000000000036,97,100,0.25,CD,1682211315
164,clyde river,70.4692,-68.5914,-6.8700000000000045,93,100,6.69,CA,1682211114
165,kaitangata,-46.2817,169.8464,18.29000000000002,53,100,5.35,NZ,1682211186
166,gua musang,4.8823,101.9644,26.150000000000034,92,69,0.29,MY,1682211501
167,college,64.8569,-147.8028,-4.029999999999973,56,75,8.75,US,1682211259
168,houma,29.5958,-90.7195,21.0,48,0,1.54,US,1682211247
169,koumac,-20.5667,164.2833,27.340000000000032,74,80,2.1,NC,1682211282
170,butaritari,3.0707,172.7902,26.629999999999995,85,100,3.92,KI,1682211113
171,beeville,28.4008,-97.7483,24.600000000000023,78,40,5.66,US,1682211271
172,mangan,27.5167,88.5333,18.400000000000034,73,97,1.82,IN,1682211395
173,tuktoyaktuk,69.4541,-133.0374,-17.0,78,75,7.72,CA,1682211135
174,yumen,40.2833,97.2,5.080000000000041,82,89,3.81,CN,1682211116
175,santa luzia,-19.7697,-43.8514,19.600000000000023,75,20,5.14,BR,1682211502
176,thinadhoo,0.5333,72.9333,28.82000000000005,72,41,2.29,MV,1682210974
177,arkhangelskoye,55.8549,35.3287,7.689999999999998,63,82,1.77,RU,1682211502
178,shuyskoye,59.3736,41.0305,5.2000000000000455,84,74,2.14,RU,1682211502
179,maniitsoq,65.4167,-52.9,0.8900000000000432,74,100,2.95,GL,1682211206
180,karlstad,59.3793,13.5036,7.310000000000002,76,40,1.03,SE,1682211503
181,atar,20.5169,-13.0499,26.870000000000005,22,0,4.35,MR,1682210992
182,gaffney,35.0718,-81.6498,15.270000000000039,36,18,3.37,US,1682211503
183,brae,60.3964,-1.353,5.82000000000005,70,100,14.55,GB,1682211192
184,katsuura,35.1333,140.3,12.610000000000014,65,100,7.79,JP,1682211176
185,san andres,12.5847,-81.7006,28.010000000000048,69,20,2.06,CO,1682211329
186,boyolangu,-8.1181,111.8935,26.99000000000001,81,14,0.94,ID,1682211504
187,minuri,16.535,121.8574,27.08000000000004,83,100,0.44,PH,1682211504
188,yellowknife,62.456,-114.3525,9.29000000000002,34,75,2.57,CA,1682211108
189,pochutla,15.7432,-96.4661,29.340000000000032,75,92,3.34,MX,1682211147
190,wewak,-3.5534,143.6268,28.960000000000036,72,13,2.19,PG,1682211504
191,mega,4.05,38.3,14.810000000000002,97,100,4.02,ET,1682211504
192,vitim,59.4511,112.5578,-1.6999999999999886,84,100,0.94,RU,1682211505
193,sao jose da coroa grande,-8.8978,-35.1478,25.950000000000045,79,82,4.99,BR,1682211308
194,pierre,44.3683,-100.351,7.7000000000000455,34,20,5.66,US,1682211284
195,flinders,-34.5833,150.8552,21.210000000000036,76,100,1.34,AU,1682211278
196,georgetown,5.4112,100.3354,27.960000000000036,94,20,0.0,MY,1682210978
197,victoria,22.2855,114.1577,24.55000000000001,90,87,8.94,HK,1682211127
198,allende,25.2833,-100.0167,23.160000000000025,80,100,2.72,MX,1682211505
199,kargasok,59.0556,80.8572,3.640000000000043,92,100,7.6,RU,1682211234
200,yenagoa,4.9247,6.2642,24.910000000000025,95,100,1.63,NG,1682211506
201,broken hill,-31.95,141.4333,19.78000000000003,46,0,5.83,AU,1682211128
202,tumaco,1.7986,-78.8156,25.590000000000032,84,26,3.07,CO,1682211506
203,grindavik,63.8424,-22.4338,4.260000000000048,100,100,1.54,IS,1682211133
204,sioux lookout,50.1001,-91.917,0.040000000000020464,43,100,3.09,CA,1682211158
205,port blair,11.6667,92.75,29.350000000000023,70,100,0.12,IN,1682210915
206,comarapa,-17.9,-64.4833,11.850000000000023,90,62,1.17,BO,1682211507
207,ahipara,-35.1667,173.1667,19.52000000000004,71,53,4.21,NZ,1682211160
208,tigil,57.8,158.6667,1.4399999999999977,74,100,13.18,RU,1682211354
209,ginda,30.6945,78.4932,8.960000000000036,34,4,3.92,IN,1682211507
210,sao gabriel da cachoeira,-0.1303,-67.0892,23.590000000000032,90,100,0.46,BR,1682211507
211,tasiilaq,65.6145,-37.6368,-1.9099999999999682,87,100,2.74,GL,1682211113
212,samarai,-10.6167,150.6667,29.230000000000018,71,100,4.21,PG,1682211181
213,namatanai,-3.6667,152.4333,28.680000000000007,75,95,2.3,PG,1682211165
214,bambous virieux,-20.3428,57.7575,24.560000000000002,94,40,1.54,MU,1682211168
215,tupik,54.4253,119.9327,-2.6999999999999886,69,2,1.42,RU,1682211508
216,sorland,67.667,12.6934,-0.07999999999998408,59,100,4.72,NO,1682211171
217,beringovskiy,63.05,179.3167,-1.92999999999995,87,9,1.38,RU,1682211158
218,lockhart,28.6194,-81.4426,27.30000000000001,67,94,1.79,US,1682211508
219,neiafu,-18.65,-173.9833,28.379999999999995,65,20,3.09,TO,1682211125
220,aklavik,68.2191,-135.0107,-16.109999999999957,86,100,9.05,CA,1682211156
221,ponta delgada,37.7333,-25.6667,17.400000000000034,94,75,4.12,PT,1682211353
222,nome,64.5011,-165.4064,0.040000000000020464,69,0,1.54,US,1682211208
223,upernavik,72.7868,-56.1549,-0.839999999999975,83,100,5.12,GL,1682211152
224,vanimo,-2.6741,141.3028,28.58000000000004,72,100,0.59,PG,1682211509
225,severo-kurilsk,50.6789,156.125,1.5300000000000296,90,71,5.64,RU,1682211152
226,esperance,-33.8667,121.9,21.27000000000004,35,100,7.6,AU,1682211118
227,klaksvik,62.2266,-6.589,3.5100000000000477,68,100,14.17,FO,1682211169
228,orlik,52.5178,99.825,-8.659999999999968,63,99,1.05,RU,1682211509
229,labuhan,-6.8844,112.2051,27.58000000000004,80,63,3.86,ID,1682211509
230,mamallapuram,12.6264,80.1722,30.03000000000003,81,20,4.83,IN,1682211510
231,tiksi,71.6872,128.8694,-6.75,85,47,1.16,RU,1682211148
232,masuguru,-11.3667,38.4167,21.49000000000001,98,100,0.96,TZ,1682211510
233,khasan,42.4308,130.6434,8.689999999999998,24,46,7.63,RU,1682211510
234,nara,34.6851,135.8049,16.060000000000002,28,9,2.63,JP,1682210923
235,keti bandar,24.1447,67.4497,26.05000000000001,77,1,5.98,PK,1682211510
236,nishihara,26.1842,127.7558,24.600000000000023,67,20,6.17,JP,1682211148
237,marystown,47.1666,-55.1483,4.920000000000016,100,85,5.36,CA,1682211510
238,altamira,-3.2033,-52.2064,23.810000000000002,93,100,0.65,BR,1682211510
239,kesinga,20.2,83.2333,23.75,60,92,2.44,IN,1682211511
240,saldanha,-33.0117,17.9442,14.03000000000003,93,100,7.87,ZA,1682211160
241,beisfjord,68.3751,17.5988,-3.069999999999993,87,100,1.96,NO,1682211511
242,elko,41.0002,-115.5012,13.010000000000048,39,98,4.02,US,1682211511
243,goderich,43.7501,-81.7165,5.510000000000048,93,100,1.54,CA,1682211263
244,rio gallegos,-51.6226,-69.2181,13.03000000000003,33,0,6.69,AR,1682211333
245,berbera,10.4396,45.0143,28.310000000000002,77,100,3.02,SO,1682211511
246,buala,-8.145,159.5921,29.75,72,99,3.26,SB,1682211189
247,mareeba,-17.0,145.4333,28.02000000000004,72,97,4.84,AU,1682211148
248,remedios,22.4947,-79.5458,26.510000000000048,70,13,2.11,CU,1682211229
249,mathathane,-22.2687,28.7495,18.170000000000016,65,5,0.72,BW,1682211512
250,nador,35.174,-2.9287,20.140000000000043,56,0,2.06,MA,1682211512
251,kieta,-6.2167,155.6333,30.340000000000032,65,88,1.45,PG,1682211184
252,olavarria,-36.8927,-60.3225,11.240000000000009,77,0,3.48,AR,1682211512
253,nanortalik,60.1432,-45.2371,0.34000000000003183,91,84,0.14,GL,1682211133
254,narsaq,60.9167,-46.05,4.1200000000000045,83,100,0.55,GL,1682211126
255,berlevag,70.8578,29.0864,-3.0,86,100,9.26,NO,1682211312
256,lakatoro,-16.0999,167.4164,29.350000000000023,70,33,4.8,VU,1682211513
257,klyuchi,52.2667,79.1667,2.7100000000000364,64,100,3.93,RU,1682211250
258,tual,-5.6667,132.75,28.24000000000001,76,100,3.59,ID,1682211169
259,bambanglipuro,-7.95,110.2833,27.450000000000045,78,13,1.52,ID,1682211513
260,panalingaan,8.7842,117.4231,30.439999999999998,63,31,0.99,PH,1682211513
261,noshiro,40.2039,140.0242,12.460000000000036,39,0,8.17,JP,1682211514
262,jacareacanga,-6.2222,-57.7528,22.32000000000005,100,100,0.99,BR,1682211160
263,trinidad,-14.8333,-64.9,23.150000000000034,74,48,1.03,BO,1682211325
264,wajima,37.4,136.9,11.379999999999995,50,0,3.09,JP,1682211514
265,christchurch,-43.5333,172.6333,20.180000000000007,80,6,4.12,NZ,1682211051
266,caibarien,22.5206,-79.4669,25.49000000000001,69,13,2.31,CU,1682211514
267,scarborough,54.2797,-0.4044,7.100000000000023,85,100,0.48,GB,1682211296
268,harper,4.375,-7.7169,26.77000000000004,86,100,3.89,LR,1682211253
269,lerwick,60.1545,-1.1494,7.0,74,100,15.92,GB,1682211460
270,padang,-0.9492,100.3543,25.03000000000003,85,100,1.78,ID,1682211123
271,leiyang,26.4024,112.8591,9.680000000000007,92,100,3.31,CN,1682211240
272,elizabeth city,36.2946,-76.2511,21.010000000000048,84,100,2.57,US,1682211515
273,gat,31.61,34.7642,17.439999999999998,71,100,2.4,IL,1682210944
274,biak,-0.9131,122.8766,27.870000000000005,70,49,1.66,ID,1682211203
275,ribeira brava,32.65,-17.0667,18.350000000000023,78,100,2.23,PT,1682211282
276,mwene-ditu,-7.0,23.45,19.32000000000005,95,100,1.44,CD,1682211515
277,mackay,-21.15,149.2,26.49000000000001,74,100,10.49,AU,1682211162
278,mitsamiouli,-11.3847,43.2844,27.32000000000005,78,96,3.24,KM,1682211263
279,bathsheba,13.2167,-59.5167,26.340000000000032,83,40,6.17,BB,1682211180
280,maceio,-9.6658,-35.7353,24.689999999999998,88,40,1.03,BR,1682211221
281,hami,42.8,93.45,13.939999999999998,21,100,3.57,CN,1682211204
282,gavle,60.6745,17.1417,2.9700000000000273,87,99,1.34,SE,1682211516
283,aguadilla,18.4275,-67.1541,26.420000000000016,84,40,2.57,PR,1682211516
284,jutai,-5.1833,-68.9,23.08000000000004,96,99,0.52,BR,1682211516
285,port-cartier,50.0334,-66.8654,5.1200000000000045,86,100,3.49,CA,1682211516
286,linhares,-19.3911,-40.0722,20.54000000000002,93,87,2.03,BR,1682211516
287,puerto narino,-3.7703,-70.3831,23.120000000000005,98,100,1.05,CO,1682211339
288,durant,33.994,-96.3708,12.950000000000045,43,100,4.63,US,1682211517
289,osterburg,52.7833,11.7667,15.07000000000005,74,100,3.02,DE,1682211517
290,san patricio,28.017,-97.5169,24.970000000000027,79,100,6.32,US,1682211112
291,cidreira,-30.1811,-50.2056,19.879999999999995,85,39,4.34,BR,1682210985
292,pak phanang,8.3511,100.202,31.129999999999995,73,100,3.12,TH,1682211373
293,mar del plata,-38.0023,-57.5575,14.410000000000025,81,100,2.57,AR,1682210936
294,svetlyy,54.675,20.1347,5.03000000000003,80,3,3.13,RU,1682211194
295,kahta,37.7855,38.6237,13.650000000000034,53,98,1.88,TR,1682211517
296,itaporanga,-7.3044,-38.1503,21.340000000000032,59,26,1.71,BR,1682211517
297,iwanai,42.9744,140.5089,7.03000000000003,58,6,8.31,JP,1682211129
298,clinton,42.587,-82.9199,8.0,74,75,5.66,US,1682211518
299,kahului,20.8947,-156.47,29.010000000000048,63,40,8.23,US,1682211158
300,kattivakkam,13.2167,80.3167,30.05000000000001,91,17,4.53,IN,1682211518
301,yola,9.2,12.4833,29.74000000000001,43,57,1.98,NG,1682211518
302,laguna,38.421,-121.4238,28.100000000000023,41,0,4.63,US,1682211518
303,amberley,39.2048,-84.428,8.590000000000032,60,100,6.17,US,1682211384
304,tambun,-6.2641,107.0712,27.939999999999998,94,20,1.54,ID,1682211519
305,bethel,41.3712,-73.414,14.470000000000027,87,100,6.69,US,1682210941
306,calamar,10.2511,-74.9146,26.390000000000043,75,95,2.81,CO,1682211519
307,sao filipe,14.8961,-24.4956,23.29000000000002,71,0,4.16,CV,1682211118
308,cloquet,46.7216,-92.4594,0.9000000000000341,78,100,3.56,US,1682211519
309,tanem,63.3078,10.4319,1.9399999999999977,75,100,1.62,NO,1682211519
310,serafimovich,49.5786,42.736,9.230000000000018,91,100,2.31,RU,1682211519
